name,role,company,bio,dates
Daniel Rongo,Senior Advisor (AI),EY,"I’m a founder with a passion for growing tech businesses looking for “organized scale” and building teams that thrive on collaboration.

Currently, I’m focused on creating impactful ventures and tech collaborations for large consulting firms (e.g. Ernst & Young), corporations and startups via Industry Gap. 

I also occasionally do revenue and management consulting for fast-growing startups (>$5M ARR), and I tend to focus on helping founder-led sales organizations or the VP of Sales / Growth structure their sales motion.

Prior to that, I built and sold Funden, a tech-enabled fundraising firm, to a Private Equity fund in just two years. Before that, I was the Chief Revenue Officer at Foodics, a Dubai-based unicorn, where I grew the company’s annual revenue from $300k to $7M, driving its valuation from $2M to >$100M.",
Rogier Van Willigen,VP of Product,Lindus Health,"Entrepreneurial Product & Growth Leader with 15+ years of experience scaling products, operations and revenues in technology companies. Proven track record of driving revenue growth by collaborating with stakeholders to expand product use cases, enter new markets, and optimize go-to-market strategies.

Notable Impact:
- Expanded Card Issuing across EMEA at Stripe, establishing the first product team and achieving 19x revenue growth
- Tripled revenue at Lindus Health by expanding the market, growing the team and implementing structured processes
- Founded and successfully exited three startups, two acquired by publicly listed companies",
Anne Sophie Lendrevie,Venture Partner,Insurtech Gateway,"Functional expertise in customer centric design, innovation and business development. Sector expertise: financial services with a main focus on insurance",2025-03-24
Henry Crawford,Managing Director,Redkite (part of Accenture),"Henry has spent his career in hypergrowth companies, starting in venture capital before leading teams through Grouponʼs IPO. He later joined Deliveroo as Head of Data, where he scaled the data team from 2 to 40 and led the fastest global rollouts of Snowflake and Looker.

In 2018, he co-founded Redkite, a premium data consultancy, scaling it to 300 employees in five years without external investment. Redkite became the data partner for some of the worldʼs largest consumer-facing companies and over 200 startups.

After Redkite's acquisition by Accenture in late 2023, Henry now leads data capabilities for 900 UK employees, and focusses on generative AI in consumer facing industries.",2025-03-24
Jim Karp,Fund Manager,Lombard Odier Investment Managers,"Currently manage Asset Backed Loan investment fund for Lombard Odier.  Techstars Future of Finance mentor for 9 years.  Career expertise in credit investing, debt financing and team building.  Experiences include Goldman Sachs, Hayfin Capital Management and Silver Point Capital.",2025-03-28
Joshua Stein,Vice President,Target Global,"Josh is a Vice President of one of Europe’s leading venture capital funds, managing € 3.5bn with a portfolio of over 140 companies.
Through six board observer/advisor positions and one director position, he has directly managed assets with a cumulative valuation of c. €5bn, actively assisting C-suite executives and founders with strategy, M&A, operations, recruiting, and fundraising.
He is a graduate of the London School of Economics",2025-04-01
Elena Korotkova,Fractional CMO for B2B Seed/SeriesA Startups,"ByteForge, Marketing for Software","Marketing and Growth leader with 15+ years of experience driving go-to-market strategies for software, SaaS, and deep-tech startups. I thrive in the 0 to 1 stage, helping launch category-defining B2B and B2D products and accelerating growth from the ground up.

My passion lies in crafting GTM and Market entry strategies and navigating early-stage challenges. I've led teams to triple-digit growth, launched innovative payment infrastructure products, and secured grants for sustainability initiatives.

I enjoy working with software, including open-source projects, which I believe will be the next big wave in the industry. I'm here to give back, do what I love, and help founders build something extraordinary through sharing my expertise and hands-on experience.",
Michael Batula,Executive Director,Ex- JPM | Milo |,"14 years in M&A at J.P. Morgan and Goldman Sachs as an Executive Director, leading billions in transactions across premier technology & consumer brands (IPO, M&A). 

Led the Digital Infrastructure & Sports IB teams specifically and have seen a ton of start ups / founders over that time go from Seeds to Late Stage. 

Also relatively well connected with the institutional investor network.   ",2025-04-01
Glenn St John-Colgan,Founder and Investor,,"I have more than 30 years’ experience across the commercial business landscape, the majority of which at leadership level within the public sector, private international organisations, and consultancies. This has naturally extended to supporting social enterprises as non-executive director (NED) and board advisor for small and start-up businesses across all sectors.

I have had the wonderful opportunity to work with some of the best teams across public, private and 3rd sectors, along with the broadest of projects that include renovating the Houses of Parliament, delivering the 2011 and 2021 Censuses, investing and guiding a market leading nursery for under 5s, our most precious gems, and, arguably the as important, helping the poorest of us assimilate back into society following custodial sentences, reducing reoffending, and volunteering for a regional care facility using creativity to improve the lives of physically and mentally challenged adults.

As a Fellow of the Institute of Directors and former Chair of Hampshire and Isle of Wight, I am a strong advocate of good yet flexible governance so continue to support the values of the Institute and how directors can still positively impact society through great leadership and decision making.

The clear focuses I may be able to help you with:

1) Investing, guiding and mentoring worthwhile business ventures and your board: good people with good ideas that can genuinely benefit society.

2) Leveraging my experience to build and scale operational activity, implement agile governance, de-risking business delivery, and, most importantly, growth strategies and sales.

Now using this experience to support Boards as NxD, Board Advisor, Board Observer across small businesses and start ups.",2025-04-02
Jon Baker,CEO,"Iona Mind, Inc","Funded by Techstars 2017
Funded by Y Combinator 2021
Raised Venture Capital from over 40 funds 
Experience finding PMF and building early GTM before scaling / expanding to US. ",2025-03-26
Sevil Sofueva,Angel investor,Axiom Ventures,"Currently an angel investor focusing on pre-seed/seed opportunities within Europe. Previously studied machine learning at UCL, with a focus on commercial applications. Prior experience as a strategy consultant focusing on the Pharmaceutical, Biotech, Medtech and Healthcare industries at L.E.K. Consulting. Can be helpful to start-ups with a network of early stage investors in London and with preparation for fundraising (e.g., pitch deck).",2025-04-01
Michel Cassius,Chair,GEEIQ,"Michel has 30 years of experience in tech and digital having been Exec and non-Exec from start-ups to globally recognised corporations. He has worked for Apple, EA (Electronic Arts) and Microsoft, where he launched Xbox and Xbox Live across Europe. Michel co-founded YoYo Games acquired by Playtech in 2015 and was CEO of Bookatable, acquired by TheFork/TripAdvisor in 2019. He is also an early-stage investor, advisor and an All-Star Mentor at TechStars. ",2025-03-26
Sam Aloni,CEO,EquiMatch,"Sam Aloni is an experienced entrepreneur, executive, and mentor with a track record of scaling ventures, driving innovation, and leading cross-functional teams. With a background spanning startups, corporate leadership, and private equity, Sam has successfully built and grown companies in technology, sustainability, and digital transformation. He is passionate about problem-solving, fostering strategic partnerships, and helping early-stage founders navigate the challenges of growth. As a mentor, Sam brings a hands-on approach, offering practical insights from years of operational leadership, product development, and market expansion.",
Nathan Jones,Owner,Elansio Ltd,"I have over 3 decades of industry experience across multiple sectors, working for myself, in scale-ups, and in enterprise. I have spent the past 10 years on the commercial side of AI-powered products in computer vision, voice, and multi-agent reinforcement learning. I am currently helping SMEs to navigate through AI with a training program called Demystify to Deploy. I also help companies to bridge the gap between technical innovation and commercial growth with a framework called Simplify to Amplify. I enjoy working with founders, helping them to become market-oriented and to consider how formulating and executing a simple strategy and working through best practice marketing and sales tactics can deliver consistent sustainable growth.",2025-03-26
Andrew de Rozairo,Founder,Friday Project,"Summary
30+ years SW industry - focused on digital transformation, innovation and business development
Strategic Board Advisor, Non-Exec Board, mentoring roles
Passionate about sustainability, AI, value management, partnering, business models

MIT BS Electrical Engineering, INSEAD MBA, IoD Certificate in Company Direction

NED Board / Strategic Advisory Experience
5 years of Strategic Advisory and Board roles, with a focus on value proposition definition, 
corporate sales pitch development, partnering strategy (including large tech players), 
commercial model design, preparation for fundraising. 

Industry Experience 
Microsoft, Digital Strategy & Sustainability Director Energy + Manufacturing Industries, EMEA	May 2018 – Sep 2024 
SAP, Global VP Customer Innovation, VP Value Architecture	Jul 2012 – May 2018
Sybase, Business Development, Strategic Partners EMEA	Feb 2006 – Jun 2012 
Bradmark Technologies, Managing Director, Europe 	Apr 2003 – Feb 2006 
Carraig Ltd, CEO	Aug 2001 – Nov 2002
Accompany / Mobshop, Managing Director UK 	Jan 2000 – Jun 2001
DECLARE, Co-founder and Managing Director	Jun 1993 – Dec 1999
Lucas Automotive, ABS Programme Manager	 Aug 1989 – Dec 1991
Keiltex Engineering, General Manager, Process Engineer	Sep 1986 – Jul 1989


",2025-03-25
Shannon Low,Venture Partner,Lyrik Ventures,"Shannon Low has over 15 years of experience as an early-stage investor, Google exec and startup founder, working in investment management, business development, product management and technology development. As a venture partner at Lyrik Ventures, he led seed-stage investments in blockchain and gaming. At Google, he established and led Google Play’s business in EMEA, overseeing a decade of massive growth for the platform. He also co-founded two startups in social networking and digital advertising, and held various roles in the Singapore government including investment management, industry development, and policy.",
Udai Dhamija,Founder President and Founder CEO,Oxbridge AI X / Tuki ,"Udai Dhamija is a social innovator and community builder working at the intersection of artificial intelligence, social impact, and emerging markets. He has a passion for problem-solving and product development. He's currently an Entrepreneur in Residence at Marcho Partners and is a MSc candidate at Oxford University in Major Programme Management. Udai founded the AI-driven startup Tuki and leads the Oxbridge AI Challenge, a major AI startup competition and incubator which in 2024 had over 220 start-ups from Oxford and Cambridge globally joined and where finalists from the 2023 cohort raised over $15.5million for pre-seed and seed investment. He also heads Oxbridge AI X, an acceleration community for Oxford and Cambridge AI startups with over 1300 members and growing.

Previously, Udai worked on turnaround management and social impact investing at the private equity firm The Global Emerging Markets Group (GEM) in Africa. He also served as Lead Market Development, India  and supported the commercial elements of product development out of Singapore for a USD $200 million fund based out of Michigan, focused on Med Tech, Clean Energy, Nano Tech, and Pure Water Technologies.

His entrepreneurial achievements include the Global Entrepreneur Award 2020 from the UK Department for International Trade, winning The Global Accelerator Network Momentum Tour Pitch Competition in Hamburg 2019, and being a finalist in the Stanford Bases Challenge in 2017. With a Stanford Ignite Certificate in Entrepreneurship complementing his Oxford education, Udai continues to push boundaries in AI innovation, startup ecosystems, and sustainable business practices.",2025-03-24
Alexis Fabre Ringborg,Chief Product Officer,Stuart,"Passionate software product leader with 16 years of experience across marketplaces, logistics, connected health, and autonomous vehicles, in Europe and the US.
During that time, I've contributed to:
- scale the operations of a connected health leader (withings.com), 10x in 5 years,
- build competitive offerings for Amazon by leveraging free delivery to access points across Europe to boost acquisition of new customers, and getting a commercial certificate to start operating drone deliveries in the United States.
I'm currently leading the Product and Analytics organisation for a European B2B last mile delivery platform with aim of becoming the leader in own channel same day delivery for both enterprise and SMBs merchants.",2025-03-31
